,type,rank,player,count,team,position,image
90,한화,1,류현진,591,한화,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F12630b6e-87bd-41ad-92d6-66c36f83bf7f.png
91,한화,2,페라자,147,-,-,-
92,한화,3,정은원,110,한화,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fd2ba1434-8e81-4700-9907-c2adeaec9bc0.png
93,한화,4,황준서,86,한화,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F0986d531-082d-442c-9957-7e75d6022c6b.png
94,한화,5,황영묵,80,한화,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F5d54bd3a-ea91-431a-995c-750be1f5bd50.png
95,한화,6,이명기,77,한화,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fb9ea4b09-fe55-46ec-bccd-532c1794fa6e.png
96,한화,7,최재훈,65,한화,포수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fea96f824-1bcf-49c4-9c79-57a5de974702.png
97,한화,8,노시환,59,한화,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F18d49eb5-135c-4572-8d1a-a7ca04634377.png
98,한화,9,최인호,53,한화,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F178%2F202304051209523881.png
99,한화,10,안치홍,47,한화,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F240d3d77-d82b-4da1-8fb8-744b219189bf.png
100,키움,1,이주형,389,키움,외야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F15990902-f9fd-4d02-8934-fb639d6c923a.png
101,키움,2,고영우,121,키움,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F8056a10a-6a9d-4e52-844e-c241de595cfa.png
102,키움,3,김혜성,82,키움,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2Fd38207e1-b3e1-4363-aeda-200fd97298ea.png
103,키움,4,이용규,67,-,-,-
104,키움,5,후라도,38,-,-,-
105,키움,6,도슨,38,-,-,-
106,키움,7,김인범,36,키움,투수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F4da80d28-b69c-446c-b96e-7aacf6fd31f5.png
107,키움,8,김휘집,35,키움,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F99a97fa3-f0d3-4850-8473-f3de9713867d.png
108,키움,9,최원준,21,-,-,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F0d9aae7b-fac0-4be9-a009-b29e069fc159.png
109,키움,10,이승원,21,키움,내야수,https://search.pstatic.net/common?type=b&size=216&expire=1&refresh=true&quality=100&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2FprofileImg%2Ft%2F2bf7f6ef-ba49-494a-a655-0c62d8c69b57.png
